date,totalFeeds,successfulFeeds,failedFeeds,totalFetched,totalKept,scrapersTotal,scrapersOk,scrapersFailed,njKept,paKept,flKept,usKept
2026-07-01,209,204,5,13849,4388,10,10,0,827,297,527,2737
2026-07-02,209,206,3,13777,4352,10,10,0,783,298,530,2741
2026-07-03,209,206,3,13893,4425,10,10,0,857,304,534,2730
2026-07-04,209,204,5,13695,4260,10,10,0,821,303,522,2614
2026-07-05,209,206,3,13787,4296,10,10,0,839,302,509,2646
2026-07-06,211,207,4,13987,4310,10,9,1,831,291,496,2692
2026-07-07,211,207,4,13824,4242,10,9,1,814,270,505,2653
2026-07-08,209,206,3,13824,4339,10,10,0,839,279,507,2714
2026-07-09,209,206,3,13908,4340,10,10,0,851,280,501,2708
2026-07-10,209,206,3,13872,4359,10,10,0,857,279,499,2724
2026-07-11,209,206,3,13832,4334,10,10,0,846,267,500,2721
2026-07-12,209,206,3,13817,4362,10,10,0,866,272,505,2719
2026-07-13,209,206,3,13815,4385,10,10,0,868,279,504,2734
