date,runId,score,outOf10,grade,itemCount,coverage,freshness,regional,relevanceIntegrity,freshItems,deepItems,reserveItems,penaltyTotal,brokenItems,duplicatesInSend,crossDayRepeats,weakItems,leaks,lateDelivery,manualSend,deliveryScore,supplyCondition
2026-05-11,2026-05-11-1448,76,7.6,C,6,24,19.8,12.5,20,5,1,0,0,0,0,0,0,0,0,0,,
2026-05-12,2026-05-12-1423,74,7.4,C,4,18,16.9,25,20,2,2,0,6,0,1,0,0,0,0,0,,
2026-05-13,2026-05-13-1431,46,4.6,F,5,8,16,2,20,2,3,0,0,0,0,0,0,0,0,0,,
2026-05-14,2026-05-14-1409,83,8.3,B,10,30,16.9,19.5,20,5,5,0,3,0,0,0,1,0,0,0,,
2026-05-15,2026-05-15-1405,69,6.9,D,7,18,17.3,13.6,20,6,3,1,0,0,0,0,0,0,0,0,,
2026-05-18,2026-05-18-1530,56,5.6,F,7,18,18.7,14.3,20,7,1,1,15,0,0,0,1,1,0,0,,
2026-05-19,2026-05-19-1518,71,7.1,C,7,18,19.3,19.3,20,7,2,0,6,0,0,0,2,0,0,0,,
2026-05-20,2026-05-20-1517,49,4.9,F,7,18,18.3,19.3,20,6,3,0,27,0,0,1,0,2,0,0,,
2026-05-21,2026-05-21-1522,41,4.1,F,4,18,13.3,5,20,2,5,2,15,0,0,0,1,1,0,0,,
2026-05-22,2026-05-22-1436,67,6.7,D,4,18,14.6,17.5,20,3,6,1,3,0,0,0,1,0,0,0,,
2026-05-25,2026-05-25-1451,70,7,C,2,8,16.9,25,20,3,3,0,0,0,0,0,0,0,0,0,,
2026-05-26,2026-05-26-1523,70,7,C,2,10,14.7,25,20,2,6,0,0,0,0,0,0,0,0,0,,
2026-05-27,2026-05-27-1417,64,6.4,D,6,24,13.5,10,20,1,8,0,3,0,0,0,1,0,0,0,,
2026-05-28,2026-05-28-1619,79,7.9,C,6,24,16.9,20.8,20,5,5,0,3,0,0,0,1,0,0,0,,
2026-05-29,2026-05-29-1603,83,8.3,B,7,24,18.6,20.7,20,7,3,0,0,0,0,0,0,0,0,0,,
2026-06-01,2026-06-01-1448,73,7.3,C,6,20,13.5,20,20,1,8,0,0,0,0,0,0,0,0,0,,
2026-06-02,2026-06-02-1504,79,7.9,C,7,24,18.9,15.7,20,8,3,0,0,0,0,0,0,0,0,0,,
2026-06-04,2026-06-04-1530,79,7.9,C,8,24,19.8,18.1,20,10,2,0,3,0,0,1,0,0,0,0,,
2026-06-05,2026-06-05-1517,77,7.7,C,7,24,16.4,22.9,20,4,5,0,6,0,0,1,1,0,0,0,,
2026-06-08,2026-06-08-1418,58,5.8,F,10,30,16.1,18.5,20,5,7,0,27,0,2,3,2,0,0,0,,
2026-06-11,2026-06-11-1553,81,8.1,B,10,24,19.2,18,20,10,1,2,0,0,0,0,0,0,0,0,,
2026-06-12,2026-06-12-1429,67,6.7,D,6,24,13.5,15.8,20,1,8,0,6,0,0,0,2,0,0,0,,
2026-06-15,2026-06-15-1647,69,6.9,D,5,14,15.5,22,20,3,3,1,3,0,0,0,1,0,0,0,,
2026-06-16,2026-06-16-1616,66,6.6,D,5,14,12.5,22,20,0,7,0,3,0,0,0,1,0,0,0,,
2026-06-17,2026-06-17-1443,80,8,B,8,24,17.3,21.3,20,6,3,1,3,0,0,1,0,0,0,0,,
2026-06-18,2026-06-18-1437,60,6,D,7,24,14.3,21.4,20,3,4,2,20,1,1,1,1,0,0,0,,
2026-06-19,2026-06-19-1434,78,7.8,C,7,24,18.1,21.4,20,7,2,1,6,0,0,2,0,0,0,0,,
2026-06-22,2026-06-22-1447,64,6.4,D,6,18,12.5,22.5,20,0,9,0,9,0,0,3,0,0,0,0,,
2026-06-23,2026-06-23-1617,79,7.9,C,7,24,18,22.9,20,5,3,0,6,0,0,1,1,0,0,0,,
2026-06-24,2026-06-24-1534,75,7.5,C,7,24,18,25,20,5,3,0,12,0,1,2,0,0,0,0,,
2026-06-25,2026-06-25-1213,27,2.7,F,6,18,10,16.7,20,0,2,2,38,1,0,2,0,2,0,0,,
2026-06-26,2026-06-26-1230,57,5.7,F,5,18,14.7,10,20,1,3,0,6,0,0,0,2,0,0,0,,
2026-06-29,2026-06-29-1337,62,6.2,D,5,8,16.9,20,20,2,2,0,3,0,0,1,0,0,0,0,,
2026-06-30,2026-06-30-1255,65,6.5,D,5,14,13.8,20,20,1,6,0,3,0,0,1,0,0,0,0,,
2026-07-01,2026-07-01-1344,77,7.7,C,6,24,15,18.3,20,2,2,1,0,0,0,0,0,0,0,0,,
2026-07-02,2026-07-02-1225,70,7,C,5,18,18.5,25,20,4,0,1,12,0,0,0,0,1,0,0,,
2026-07-03,2026-07-03-1224,73,7.3,C,6,18,16.9,20.8,20,3,3,0,3,0,0,0,1,0,0,0,,
2026-07-06,2026-07-06-1350,54,5.4,F,5,18,15.4,7,20,1,2,0,6,0,0,0,2,0,0,0,,
2026-07-07,2026-07-07-1131,68,6.8,D,2,19,10.4,25,20,1,3,6,6,0,0,2,0,0,0,0,100,Thin
2026-07-08,2026-07-08-1201,76,7.6,C,10,18,12.7,25,20,2,7,3,0,0,0,0,0,0,0,0,100,Rich
2026-07-09,2026-07-09-1139,70,7,C,8,14,16.2,20,20,6,6,1,0,0,0,0,0,0,0,0,100,Rich
2026-07-10,2026-07-10-1133,75,7.5,C,8,24,15,18.8,20,4,7,1,3,0,0,0,1,0,0,0,100,Rich
2026-07-13,2026-07-13-1130,58,5.8,F,7,14,12.5,14.3,20,0,8,0,3,0,0,0,1,0,0,0,100,Rich
2026-07-14,2026-07-14-1151,91,9.1,A,9,30,15.9,25,20,5,8,0,0,0,0,0,0,0,0,0,100,Rich
2026-07-15,2026-07-15-1156,65,6.5,D,5,14,15.4,19,20,3,6,0,3,0,0,0,1,0,0,0,100,Rich
2026-07-16,2026-07-16-1158,71,7.1,C,7,20,16.1,20.7,20,5,7,0,6,0,0,0,2,0,0,0,100,Rich
2026-07-17,2026-07-17-1149,79,7.9,C,6,24,16.4,18.3,20,4,5,0,0,0,0,0,0,0,0,0,100,Rich
2026-07-20,2026-07-20-1149,75,7.5,C,6,24,12.9,20.8,20,1,8,1,3,0,0,0,1,0,0,0,100,Rich
2026-07-21,2026-07-21-1207,84,8.4,B,6,30,14.1,22.5,20,2,5,1,3,0,0,0,1,0,0,0,100,Rich
